,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
QUIN_Et,0,,,,,,,,,,,0,,
RBFK,0.004269685,0.006122453,,0.001970576,0.006791086,0.005029427,0.003032349,,0.006440717,,,0.004702513,0.006762617,
RBFSa,0,,0,0.007882302,,0.020117708,0.012129396,,,0,0.036017341,0.018810054,0.027050469,
RBFSb,0,,0,0.003941151,,0.010058854,0.006064698,,,0,0.018008671,0.009405027,0.013525234,
RIBFLVt2,0.005337107,0.012244907,0,,0.013582172,,,0.008757643,0.012881433,0,,,,0.006680075
RNTR2_2,0.517282902,,,,,,,,,,,,,
RNTR3_2,0.517282902,,,,,,,,0.780308702,,,0,,
RPE,-0.01185984,,-48.9324359,,-47.7319595,-43.30783798,-0.016846383,-29.2344323,0,-60.51065286,-93.64976049,,-38.33615507,-9.376681261
SAMU3,0,,,,,,,,,,0,,,
SERt2r,0,,,,,,,,,,,,,
SHCHF,0,,,,,,,,,,0,,0,0
SHKK_1,0,0,0,,,,0,0,,,0,,4.188546719,0
SKDH_1,0,0,,,,,,,,,,,,
SUCBZT1,0.001914657,,0.004372298,-43.89487587,-209.0078428,-49.99774465,,0.001963597,0.002888214,,0.004037819,0.00210875,-39.68084481,0.001497775
SUCOAACTr,-1000,,,,,,,,,,,,,
SUCOAS,-999.9980853,,,-361.1153122,,,-1000,-1000,,,-991.7700779,-606.7610964,,0.002995549
TALA,-0.00592992,0,-24.46134284,0,-23.86597975,-17.05978031,-0.008423191,-52.28270204,,,0,,,
TCYNTtex,-143.9355516,,,-57.14285714,,,,,,,,,,
TCYNTtpp,-143.9355516,,,-57.14285714,,,,,,,,,,
THD2pp,0,,,,0,,,,,,0,,0,
THFOR2,0.012809056,,,,,,,0.013136465,,,,,,
THMtrbc,0.004269685,0.006122453,-32.69230769,-3.954770103,-11.01193323,-9.673978857,,,-3.947703581,,-19.62451096,-8.723095855,-13.41044082,-24.12741317
